Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:34:09,VEHICLE_COUNT,SOUTH,,4,3,1,0,False,,
2026-01-30 19:34:10,VEHICLE_COUNT,EAST,,5,5,0,0,False,,
2026-01-30 19:34:10,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:34:15,VEHICLE_COUNT,NORTH,,8,7,1,0,False,,
2026-01-30 19:34:18,VEHICLE_COUNT,SOUTH,,5,4,1,0,False,,
2026-01-30 19:34:20,VEHICLE_COUNT,NORTH,,8,8,0,0,True,,
2026-01-30 19:34:20,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:34:20,VEHICLE_COUNT,SOUTH,,8,6,2,0,False,,
2026-01-30 19:34:20,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:34:20,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:34:22,VEHICLE_COUNT,WEST,,6,3,3,0,False,,
2026-01-30 19:34:22,SIGNAL_CHANGE,EAST,GREEN,,,,,False,68.0,Maximum time reached
2026-01-30 19:34:25,VEHICLE_COUNT,SOUTH,,4,1,3,0,True,,
2026-01-30 19:34:25,VEHICLE_COUNT,EAST,,4,3,1,0,True,,
2026-01-30 19:34:29,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:34:30,VEHICLE_COUNT,SOUTH,,2,2,0,0,True,,
2026-01-30 19:34:30,VEHICLE_COUNT,EAST,,5,5,0,0,False,,
2026-01-30 19:34:31,VEHICLE_COUNT,WEST,,12,10,2,0,False,,
2026-01-30 19:34:31,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:34:35,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:34:37,VEHICLE_COUNT,EAST,,4,4,0,0,False,,
2026-01-30 19:34:39,VEHICLE_COUNT,WEST,,3,3,0,0,False,,
2026-01-30 19:34:41,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:34:45,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:34:46,VEHICLE_COUNT,SOUTH,,0,0,0,0,False,,
2026-01-30 19:34:46,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:34:48,VEHICLE_COUNT,WEST,,9,5,4,0,False,,
2026-01-30 19:34:51,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:34:54,VEHICLE_COUNT,SOUTH,,6,4,2,0,False,,
2026-01-30 19:34:56,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:34:57,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:34:59,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:00,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:01,VEHICLE_COUNT,SOUTH,,4,3,1,0,False,,
2026-01-30 19:35:01,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:35:01,VEHICLE_COUNT,WEST,,8,4,4,0,False,,
2026-01-30 19:35:06,VEHICLE_COUNT,WEST,,5,3,2,0,False,,
2026-01-30 19:35:06,VEHICLE_COUNT,SOUTH,,2,2,0,0,True,,
2026-01-30 19:35:07,VEHICLE_COUNT,NORTH,,10,10,0,0,False,,
2026-01-30 19:35:07,VEHICLE_COUNT,SOUTH,,3,3,0,0,False,,
2026-01-30 19:35:08,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:35:08,VEHICLE_COUNT,WEST,,4,3,1,0,True,,
2026-01-30 19:35:08,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:11,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:14,VEHICLE_COUNT,SOUTH,,1,1,0,0,True,,
2026-01-30 19:35:14,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:35:15,VEHICLE_COUNT,WEST,,8,6,2,0,False,,
2026-01-30 19:35:15,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:17,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:20,VEHICLE_COUNT,SOUTH,,6,6,0,0,False,,
2026-01-30 19:35:20,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:35:21,VEHICLE_COUNT,WEST,,5,2,3,0,False,,
2026-01-30 19:35:26,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:35:26,VEHICLE_COUNT,WEST,,7,5,2,0,False,,
2026-01-30 19:35:32,VEHICLE_COUNT,EAST,,4,4,0,0,False,,
2026-01-30 19:35:32,VEHICLE_COUNT,WEST,,4,4,0,0,False,,
2026-01-30 19:35:37,VEHICLE_COUNT,SOUTH,,10,10,0,0,False,,
2026-01-30 19:35:38,VEHICLE_COUNT,EAST,,0,0,0,0,False,,
2026-01-30 19:35:38,VEHICLE_COUNT,WEST,,12,12,0,0,False,,
2026-01-30 19:35:43,VEHICLE_COUNT,SOUTH,,7,6,1,0,False,,
2026-01-30 19:35:44,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:35:44,VEHICLE_COUNT,WEST,,2,1,1,0,True,,
2026-01-30 19:35:44,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:35:46,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
